review_id,customer_segment,region,product_line,channel,rating,reviews,expected_sentiment_hint,annotation_note
REV-001,SMB,North,Core,Email,5,Lightning-fast checkout and zero issues so far.,positive,clear praise
REV-002,Mid-Market,South,Analytics,Web,1,Support never replied and I lost a day of work.,negative,clear frustration
REV-003,Enterprise,East,Automation,App,3,"It works, but only after the third refresh.",neutral,mixed experience
REV-004,SMB,West,Billing,Partner,2,"Great, another update that moved every button I use.",negative,sarcasm
REV-005,Mid-Market,Central,Core,Retail,4,Honestly pretty solid for a first release.,positive,mild praise
REV-006,Enterprise,Enterprise,Analytics,Email,3,I cannot tell if this is brilliant or broken.,neutral,ambiguous
REV-007,SMB,North,Automation,Web,5,Saved my team hours this week.,positive,workflow win
REV-008,Mid-Market,South,Billing,App,1,Billing is a mess and the invoice export failed twice.,negative,billing pain
REV-009,Enterprise,East,Core,Partner,3,"It is fine, I guess. Nothing special.",neutral,flat tone
REV-010,SMB,West,Analytics,Retail,3,"The new dashboard looks nice, but reports are slower now.",neutral,mixed tradeoff
REV-011,Mid-Market,Central,Automation,Email,5,Best onboarding experience we have had in years.,positive,strong praise
REV-012,Enterprise,Enterprise,Billing,Web,2,"The product is okay, the documentation is not.",negative,docs complaint
REV-013,SMB,North,Core,App,4,Not bad once you learn where everything lives.,positive,qualified praise
REV-014,Mid-Market,South,Analytics,Partner,4,"I expected worse, so this is a pleasant surprise.",positive,surprised praise
REV-015,Enterprise,East,Automation,Retail,,,,blank review
REV-016,SMB,West,Billing,Email,5,The rollout was smooth and the data matched our old system.,positive,migration success
REV-017,Mid-Market,Central,Core,Web,2,"Maybe it is user error, but I still cannot find the export button.",negative,confused frustration
REV-018,Enterprise,Enterprise,Analytics,App,3,"Nothing crashed, nothing wowed me.",neutral,balanced
REV-019,SMB,North,Automation,Partner,2,This solved one problem and created two new ones.,negative,tradeoff
REV-020,Mid-Market,South,Billing,Retail,5,"Fast, clear, and exactly what we needed.",positive,strong praise
REV-021,Enterprise,East,Core,Email,5,Lightning-fast checkout and zero issues so far.,positive,clear praise
